incident_day_of_week,incident_hour,zipcode,police_district,crime,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
Friday,2,94158.0,Bayview,4,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,2,94158.0,Mission,1,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,2,94158.0,Out of SF,1,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,2,94158.0,Southern,7,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,3,94102.0,Mission,5,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,3,94102.0,Northern,10,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,3,94102.0,Park,1,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,3,94102.0,Southern,8,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,3,94102.0,Tenderloin,5,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
Friday,3,94103.0,Southern,16,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,3,94103.0,Tenderloin,19,27170.0,20036.0,14778.0,13098.0,628000.0,43364.0
Friday,3,94104.0,Central,19,406.0,5232.0,368.0,207.0,1000001.0,48750.0
Friday,3,94104.0,Southern,1,406.0,5232.0,368.0,207.0,1000001.0,48750.0
Friday,3,94104.0,Tenderloin,3,406.0,5232.0,368.0,207.0,1000001.0,48750.0
Friday,3,94105.0,Central,2,5846.0,15826.0,4601.0,3586.0,740900.0,163949.0
Friday,3,94105.0,Southern,6,5846.0,15826.0,4601.0,3586.0,740900.0,163949.0
Friday,3,94107.0,Bayview,1,26599.0,14845.0,15141.0,13736.0,719700.0,114439.0
Friday,3,94107.0,Southern,2,26599.0,14845.0,15141.0,13736.0,719700.0,114439.0
Friday,3,94108.0,Central,24,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,3,94108.0,Tenderloin,1,13768.0,50983.0,8843.0,7628.0,856900.0,35427.0
Friday,3,94109.0,Central,13,55984.0,47129.0,37182.0,33342.0,723200.0,60722.0
Friday,3,94109.0,Northern,14,55984.0,47129.0,37182.0,33342.0,723200.0,60722.0
Friday,3,94110.0,Bayview,6,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,3,94110.0,Ingleside,4,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,3,94110.0,Mission,43,69333.0,29816.0,28913.0,27128.0,768200.0,82111.0
Friday,3,94111.0,Central,4,3713.0,10791.0,2811.0,2365.0,882000.0,89722.0
Friday,3,94112.0,Ingleside,10,79407.0,23606.0,23081.0,21975.0,602400.0,71625.0
Friday,3,94114.0,Mission,9,31124.0,21837.0,17634.0,16281.0,1000001.0,114689.0
Friday,3,94114.0,Park,6,31124.0,21837.0,17634.0,16281.0,1000001.0,114689.0
Friday,3,94115.0,Northern,6,33021.0,29596.0,18884.0,17289.0,965800.0,76952.0
Friday,3,94115.0,Park,1,33021.0,29596.0,18884.0,17289.0,965800.0,76952.0
Friday,3,94116.0,Taraval,3,43698.0,16901.0,16283.0,15445.0,734400.0,83407.0
Friday,3,94117.0,Central,1,39169.0,23211.0,19255.0,17939.0,911500.0,94479.0
Friday,3,94117.0,Northern,3,39169.0,23211.0,19255.0,17939.0,911500.0,94479.0
Friday,3,94117.0,Park,5,39169.0,23211.0,19255.0,17939.0,911500.0,94479.0
Friday,3,94118.0,Out of SF,2,38319.0,19663.0,18633.0,17171.0,1000001.0,82857.0
Friday,3,94118.0,Park,2,38319.0,19663.0,18633.0,17171.0,1000001.0,82857.0
Friday,3,94118.0,Richmond,5,38319.0,19663.0,18633.0,17171.0,1000001.0,82857.0
Friday,3,94118.0,Southern,2,38319.0,19663.0,18633.0,17171.0,1000001.0,82857.0
Friday,3,94122.0,Park,2,56023.0,23699.0,23633.0,22162.0,774500.0,81768.0
Friday,3,94122.0,Richmond,4,56023.0,23699.0,23633.0,22162.0,774500.0,81768.0
Friday,3,94122.0,Taraval,4,56023.0,23699.0,23633.0,22162.0,774500.0,81768.0
Friday,3,94123.0,Northern,2,23088.0,22622.0,15083.0,13717.0,1000001.0,112650.0
Friday,3,94124.0,Bayview,4,33996.0,6901.0,10812.0,9717.0,470400.0,50146.0
Friday,3,94127.0,Ingleside,2,19289.0,10895.0,7801.0,7511.0,916900.0,131351.0
Friday,3,94131.0,Ingleside,1,26881.0,12926.0,13427.0,12618.0,859700.0,96889.0
Friday,3,94132.0,Taraval,1,28129.0,9045.0,10769.0,9993.0,733100.0,69223.0
Friday,3,94134.0,Bayview,8,40798.0,17001.0,11867.0,11244.0,547800.0,56716.0
Friday,3,94134.0,Ingleside,6,40798.0,17001.0,11867.0,11244.0,547800.0,56716.0
Friday,3,94158.0,Bayview,3,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,3,94158.0,Mission,2,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,3,94158.0,Out of SF,2,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,3,94158.0,Southern,5,4792.0,7288.0,2482.0,2271.0,643900.0,82195.0
Friday,4,94102.0,Mission,19,31176.0,46472.0,18758.0,16844.0,574100.0,22517.0
